of_amp_gls,of_amp_td,emp_amp_scaled,resid_of,resid_emp
8438.175817802075,8438.173671597451,8440.47642578428,5.355299512612077e+17,1.111561338344942e+18
8436.579920728183,8436.577645434345,8438.199608988187,5.3498419916448864e+17,1.110797736151629e+18
8429.829012571758,8429.826648777096,8431.313053652053,5.340096136717241e+17,1.1089019965846889e+18
8415.039993066684,8415.037505811331,8414.163712167123,5.3329671777351866e+17,1.1061737831510148e+18
8418.283880559517,8418.282692938814,8415.300329687612,5.332339820357242e+17,1.1065528578132914e+18
8422.028274530463,8422.021781887848,8419.348811594306,5.3426441076584506e+17,1.1080934088928236e+18
8418.142839469097,8418.140116581955,8416.720207602424,5.335582257322627e+17,1.1068578521573691e+18
8434.275702594221,8434.273100516297,8431.321217705898,5.356464193577254e+17,1.1111455775643744e+18
8421.539116202912,8421.538138894299,8424.538580867933,5.332901545650431e+17,1.1070523572268329e+18
8431.290246807355,8431.290202689202,8433.083546727901,5.347367965947483e+17,1.1098284938653852e+18
8434.621896903964,8434.621069556742,8433.99230393283,5.355235967278411e+17,1.111069942329514e+18
8465.384913331603,8465.386257482041,8465.522246872613,5.393357734498314e+17,1.1190880572284233e+18
8440.725501567042,8440.72396950345,8444.744437330972,5.357764613779986e+17,1.1121559663618349e+18
8437.266754902115,8437.26652077152,8442.852461300452,5.353689867756481e+17,1.1112761848740175e+18
8433.626099609568,8433.623392623891,8431.350025850421,5.353715121126569e+17,1.1107820077202305e+18
8421.447742775248,8421.444440152602,8418.555798756883,5.338586534946086e+17,1.1076085513579296e+18
8427.544348319832,8427.542223357337,8427.488952203328,5.3391467785133715e+17,1.1084955247907626e+18
8416.858205005008,8416.85932435728,8417.805060913935,5.33332081534241e+17,1.1064566881655894e+18
8437.075489312652,8437.073621145344,8435.970595641978,5.366026270304957e+17,1.1124838806362665e+18
8441.70325390234,8441.70141683644,8444.420828730805,5.355785850538245e+17,1.1120916627593353e+18
8424.74791983326,8424.746745824239,8424.315548444612,5.3381667204314995e+17,1.1080162766441176e+18
8434.690004258562,8434.69096952736,8431.707885244852,5.356244938222382e+17,1.1111801925060114e+18
8416.274876495383,8416.271030889391,8415.01405259327,5.32954613929486e+17,1.1059998373391311e+18
8423.277937499743,8423.274701180097,8421.248670418925,5.3381787002480134e+17,1.1078171545152078e+18
8466.493989374607,8466.490808916342,8467.927333956586,5.3926954650573114e+17,1.1191737182516886e+18
8423.502259461568,8423.503988009032,8425.183553186747,5.337014008369703e+17,1.1077311664983219e+18
8416.134099414294,8416.131040840119,8419.962163313188,5.332494398692095e+17,1.1062753672258615e+18
8436.952894439295,8436.95197491164,8439.6547337818,5.3501680921691456e+17,1.1108812329166527e+18
8429.750972528202,8429.751879682692,8433.548682085599,5.3410517431538496e+17,1.1089868557139235e+18
8436.741785064807,8436.741496933193,8438.374521073914,5.35311548557193e+17,1.111147180566289e+18
8426.027226289383,8426.024900434017,8427.321457056121,5.336266086488614e+17,1.1080005693283587e+18
8421.030919795945,8421.02840114238,8422.04091772279,5.3306107445825926e+17,1.1067540812545056e+18
8424.523840648995,8424.52064055748,8424.365490416241,5.335727277617258e+17,1.1077417811744741e+18
8440.734521640203,8440.733034468682,8444.49014774061,5.361247457688481e+17,1.1125054891660483e+18
8440.562530771997,8440.559262928698,8441.28651119213,5.356303152147796e+17,1.1119876450295789e+18
8435.08405462418,8435.084894301623,8433.046551487949,5.360944157634208e+17,1.1117038697219608e+18
8424.650956231437,8424.648917321283,8425.258933173063,5.338292758680948e+17,1.1080156374402408e+18
8436.646205527968,8436.646686483728,8438.199642620972,5.353322412950929e+17,1.1111548281018584e+18
8421.156351541156,8421.156966226394,8425.219277917135,5.3335514200271904e+17,1.1070651637671419e+18
8436.395657224237,8436.393178383263,8439.433668995393,5.3527095624089786e+17,1.1110593056355665e+18
8405.225756829926,8405.22521230695,8403.751369832995,5.316115061868422e+17,1.1031531031576646e+18
8435.43560859702,8435.43499692735,8434.112569929855,5.356033338554494e+17,1.1112607511414616e+18
8430.197780904025,8430.196802801003,8430.747725542065,5.3508057953567354e+17,1.11002328476367e+18
8418.259634974545,8418.255670166353,8419.678594776475,5.330083414229154e+17,1.1063238059082071e+18
8440.455932001358,8440.454968473266,8445.798969350686,5.3553782822327546e+17,1.1118804855380692e+18
8439.747060509031,8439.744136613714,8441.639254574851,5.3600398837154944e+17,1.1122499270776468e+18
8426.529828776283,8426.525204691548,8427.904575260245,5.340341998467438e+17,1.1084766820236287e+18
8425.16149379181,8425.157584603587,8424.321138551677,5.339840406182154e+17,1.1082400320358988e+18
8423.607234845584,8423.607338409496,8423.79575953208,5.3387238789924045e+17,1.1079164979400947e+18
8408.284633149406,8408.28660323094,8410.581121112862,5.31738944431869e+17,1.1036965211142326e+18
8441.266796859989,8441.26521705138,8446.022281095646,5.3572658566067194e+17,1.1121800000323423e+18
8426.584568469318,8426.58177590169,8428.978588863161,5.336345180408385e+17,1.108084438294208e+18
8436.078519159268,8436.075016750696,8438.292244139897,5.350962015142888e+17,1.1108412824794778e+18
8436.294779629172,8436.295197650014,8432.015391390778,5.357701580101455e+17,1.111544918907953e+18
8434.57204983178,8434.570052344858,8431.83403302654,5.356116374777578e+17,1.1111512325796677e+18
8440.26563940324,8440.265028959806,8443.009011704266,5.358337734198635e+17,1.1121505078730348e+18
8438.41993661871,8438.420732253275,8438.830874060217,5.356328567252918e+17,1.1116976206419739e+18
8435.639584370016,8435.639394716105,8433.03756445991,5.358659514647016e+17,1.1115512405107105e+18
8433.27818184717,8433.278557205034,8436.406249508223,5.349596002728799e+17,1.1103224874313033e+18
8435.428205417827,8435.42628595722,8437.018907336153,5.3515719727994586e+17,1.1108135319412268e+18
8439.786896260355,8439.787021887845,8440.843292306345,5.356029531492164e+17,1.111854352373763e+18
8420.689273158463,8420.686443182321,8416.469895846798,5.339575545197901e+17,1.1076041413947072e+18
8419.300059328758,8419.299141304746,8419.498970915927,5.337710108081068e+17,1.1072282279335199e+18
8426.777385818768,8426.776457722473,8427.456541486983,5.3428921003128224e+17,1.1087654622012847e+18
8435.317879513279,8435.317432409594,8436.750590851918,5.348265514851365e+17,1.1104678322861482e+18
8439.358682899965,8439.356369407116,8438.418393447664,5.3595285791749274e+17,1.1121458330557893e+18
8439.666791452806,8439.666168886728,8438.459168004005,5.35573300170327e+17,1.1118083546156835e+18
8506.240178318418,8506.238860402602,8508.91475347692,5.44372976041284e+17,1.129734649378191e+18
8418.00096383142,8418.00074575823,8414.700866452795,5.332642216882738e+17,1.1065445704137581e+18
8424.511337883267,8424.506716278735,8420.189176645108,5.3423977057968774e+17,1.1084072227655444e+18
8437.235599449783,8437.23473086899,8436.66028208634,5.3587356544277395e+17,1.1117766630956877e+18
8438.400346766553,8438.397769677002,8435.274097031102,5.3549709471672474e+17,1.111559271621505e+18
8441.669264819891,8441.666742427986,8443.786748081191,5.3576478645137754e+17,1.1122732365867045e+18
8436.872954641514,8436.869039448611,8432.803156292515,5.356687719088186e+17,1.1115224508781632e+18
8443.193097784304,8443.192209767423,8447.635129904553,5.362391386370571e+17,1.1129556846958524e+18
8422.75786917358,8422.754510023153,8423.80138818978,5.3397975122510675e+17,1.1079080823914734e+18
8427.02180894545,8427.022092935393,8428.065526156372,5.3441029478547334e+17,1.1089198643881144e+18
8440.84282049782,8440.841842104692,8443.326608511075,5.3559998605309037e+17,1.1119955516002054e+18
8435.965182447984,8435.96738101327,8433.002871539935,5.359057094967325e+17,1.1116354488236467e+18
8439.702594897715,8439.700006168168,8436.514943954195,5.3613321259917254e+17,1.11237320523137e+18
8434.621336510361,8434.618632770005,8431.9187826288,5.3589213859032864e+17,1.1114384590629774e+18
8438.31425980736,8438.313071286619,8436.140829260326,5.3601557925576346e+17,1.1120659788574252e+18
8438.434169014074,8438.432621405496,8438.791816920178,5.358514786922724e+17,1.1119181871345618e+18
8438.329289835769,8438.327511766342,8438.950898681025,5.351901537522396e+17,1.1112425361635084e+18
8436.439162512355,8436.438006434742,8433.691448410884,5.359351210022388e+17,1.1117295523088434e+18
